Search Term,Percentage,Num
Virtual reality,100,0
Reality,100,1
Virtual reality headset,21,2
Headset,18,3
Video game,13,4
Virtual Reality Game,5,5
Oculus VR,4,6
PlayStation 4,4,7
Augmented reality,2,8
Oculus Quest,2,9
Sony PlayStation,1,10
Technology,1,11
Virtuality,1,12
PlayStation VR,1,13
Virtual reality game,1,14
HTC Vive,1,15
Oculus Rift,1,16
Escape room,1,17
Century City,0.5,18
Oculus,0.5,19
Black Mirror,0.5,20
Stand-alone,0.5,21
Beat Saber,0.5,22
