Search Term,Percentage,Num
Virtual reality,100,0
Reality,98,1
Virtual reality headset,33,2
Headset,23,3
Video game,10,4
Samsung,9,5
Virtual Reality Game,5,6
PlayStation 4,4,7
Oculus VR,3,8
Samsung Galaxy,3,9
Sony PlayStation,2,10
Oculus Rift,2,11
Google Cardboard,2,12
Goggles,2,13
Glasses,2,14
Samsung Gear VR,2,15
Samsung Galaxy S7,2,16
PlayStation VR,1,17
HTC Vive,1,18
Samsung Galaxy S7,1,19
Dream Vision,1,20
Roller coaster,1,21
Tzumi Dream Vision Virtual Reality Smartphone Headset,0.5,22
Hype ATVCYNO Cynoculars Virtual Reality Headset,0.5,23
Virtual reality roller coaster,0.5,24
