Search Term,Percentage,Num
Virtual reality,100,0
Reality,100,1
Virtual reality headset,26,2
Headset,24,3
Video game,16,4
Virtual Reality Game,6,5
Oculus Quest,6,6
Oculus VR,5,7
Oculus Quest 2,3,8
Augmented reality,2,9
Virtuality,1,10
Virtual reality game,1,11
Simulation,1,12
Escape room,1,13
Amusement arcade,0.5,14
Metaverse,0.5,15
Dave & Buster's,0.5,16
Laser tag,0.5,17
Tag,0.5,18
